word_pair,word1,word2,pair_freq,word1_freq,word2_freq,logdice
merry wiesner,merry,wiesner,5,12,8,13.0
aisi 1095,aisi,1095,5,12,8,13.0
hurricane katrina,hurricane,katrina,5,12,8,13.0
sharon angella,sharon,angella,5,15,5,13.0
ib id,ib,id,58,68,166,12.987616
che guevara,che,guevara,20,61,21,12.964376
rover k16,rover,k16,10,26,15,12.964376
deborah lynn,deborah,lynn,16,24,42,12.955606
isabel allende,isabel,allende,22,29,62,12.951637
sonic hedgehog,sonic,hedgehog,7,8,21,12.949374
triplett 1898,triplett,1898,7,9,20,12.949374
340 dms,340,dms,7,20,9,12.949374
allan rosas,allan,rosas,7,20,9,12.949374
cecilia valdés,cecilia,valdés,12,34,16,12.941106
elaine showalter,elaine,showalter,6,11,14,12.941106
r61 ddpeptidase,r61,ddpeptidase,6,8,17,12.941106
cfibre stimulation,cfibre,stimulation,46,46,147,12.931105
ubisemiquinone anion,ubisemiquinone,anion,10,13,29,12.929611
silas marner,silas,marner,10,32,10,12.929611
colorado westview,colorado,westview,10,17,25,12.929611
cenph cenpi,cenph,cenpi,5,11,10,12.929611
e1 e2,e1,e2,5,9,12,12.929611
sweeney todd,sweeney,todd,5,8,13,12.929611
redman mathews,redman,mathews,5,11,10,12.929611
lars hanson,lars,hanson,5,8,13,12.929611
centromeric chromatin,centromeric,chromatin,36,75,77,12.921997
neil nugent,neil,nugent,17,41,31,12.917538
palmar erythema,palmar,erythema,12,24,27,12.912537
sutton hoo,sutton,hoo,7,23,7,12.900464
19141921 vol2,19141921,vol2,7,15,15,12.900464
deng xiaoping,deng,xiaoping,16,51,18,12.891476
oliver twist,oliver,twist,39,102,67,12.884523
petroleum ether,petroleum,ether,24,50,54,12.884523
chef melissa,chef,melissa,15,44,21,12.884523
ax ay,ax,ay,6,14,12,12.884523
neelands dobson,neelands,dobson,6,12,14,12.884523
liesbet hooghe,liesbet,hooghe,6,6,20,12.884523
diva blog,diva,blog,14,15,46,12.876618
ouk esti,ouk,esti,8,10,25,12.870717
kenneth pomeranz,kenneth,pomeranz,15,43,23,12.862496
cheney seyfarth,cheney,seyfarth,10,24,20,12.862496
mint flavouring,mint,flavouring,5,14,8,12.862496
sucht einen,sucht,einen,5,5,17,12.862496
90◦ plies,90◦,plies,5,6,16,12.862496
mzn pid,mzn,pid,24,24,82,12.857042
winters tale,winters,tale,43,61,129,12.856409
coleman crossley,coleman,crossley,7,20,11,12.853159
gcs 1515,gcs,1515,7,22,9,12.853159
brookfield viscometer,brookfield,viscometer,7,11,20,12.853159
antidrugs campaigner,antidrugs,campaigner,7,15,16,12.853159
mceldowney jf,mceldowney,jf,7,17,14,12.853159
pinochet ugarte,pinochet,ugarte,7,24,7,12.853159
cleveland bay,cleveland,bay,27,35,85,12.847997
dorian gray,dorian,gray,36,73,89,12.830075
heinrich böll,heinrich,böll,20,29,61,12.830075
baroness hale,baroness,hale,12,16,38,12.830075
rotary evaporator,rotary,evaporator,10,31,14,12.830075
dickinson ht,dickinson,ht,8,28,8,12.830075
altman rick,altman,rick,8,22,14,12.830075
bearder pers,bearder,pers,8,19,17,12.830075
igm gl,igm,gl,6,14,13,12.830075
knmer 1470,knmer,1470,6,16,11,12.830075
